No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U,
1,Biology,,Male,Number,5765,5535,,162,547,1276,2733,4130,5105,5386,149,5535
2,Biology,,Male,Percentage,,,41.5,2.90%,9.90%,23.10%,49.40%,74.60%,92.20%,97.30%,2.70%,100.00%
3,Biology,,Female,Number,7338,7079,,102,489,1298,3166,5041,6511,6894,185,7079
4,Biology,,Female,Percentage,,,36.2,1.40%,6.90%,18.30%,44.70%,71.20%,92.00%,97.40%,2.60%,100.00%
5,Biology,,Total,Number,13103,12614,,264,1036,2574,5899,9171,11616,12280,334,12614
6,Biology,,Total,Percentage,,,38.5,2.10%,8.20%,20.40%,46.80%,72.70%,92.10%,97.40%,2.60%,100.00%
7,"Business, Accounting and Financial Studies",Accounting,Male,Number,2892,2777,,52,186,431,1209,1930,2518,2687,90,2777
8,"Business, Accounting and Financial Studies",Accounting,Male,Percentage,,,40.8,1.90%,6.70%,15.50%,43.50%,69.50%,90.70%,96.80%,3.20%,100.00%
9,"Business, Accounting and Financial Studies",Accounting,Female,Number,3496,3404,,36,175,464,1456,2440,3137,3329,75,3404
10,"Business, Accounting and Financial Studies",Accounting,Female,Percentage,,,30.5,1.10%,5.10%,13.60%,42.80%,71.70%,92.20%,97.80%,2.20%,100.00%
11,"Business, Accounting and Financial Studies",Accounting,Total,Number,6388,6181,,88,361,895,2665,4370,5655,6016,165,6181
12,"Business, Accounting and Financial Studies",Accounting,Total,Percentage,,,35.1,1.40%,5.80%,14.50%,43.10%,70.70%,91.50%,97.30%,2.70%,100.00%
13,"Business, Accounting and Financial Studies",Business Management,Male,Number,1322,1244,,9,34,87,338,743,1099,1199,45,1244
14,"Business, Accounting and Financial Studies",Business Management,Male,Percentage,,,74,0.70%,2.70%,7.00%,27.20%,59.70%,88.30%,96.40%,3.60%,100.00%
15,"Business, Accounting and Financial Studies",Business Management,Female,Number,1393,1330,,11,47,118,469,879,1219,1288,42,1330
16,"Business, Accounting and Financial Studies",Business Management,Female,Percentage,,,73,0.80%,3.50%,8.90%,35.30%,66.10%,91.70%,96.80%,3.20%,100.00%
17,"Business, Accounting and Financial Studies",Business Management,Total,Number,2715,2574,,20,81,205,807,1622,2318,2487,87,2574
18,"Business, Accounting and Financial Studies",Business Management,Total,Percentage,,,73.5,0.80%,3.10%,8.00%,31.40%,63.00%,90.10%,96.60%,3.40%,100.00%
19,Chemistry,,Male,Number,6455,6136,,174,710,1782,3323,4806,5448,5887,249,6136
20,Chemistry,,Male,Percentage,,,27.6,2.80%,11.60%,29.00%,54.20%,78.30%,88.80%,95.90%,4.10%,100.00%
21,Chemistry,,Female,Number,5524,5256,,124,510,1283,2544,3979,4593,5037,219,5256
22,Chemistry,,Female,Percentage,,,21.5,2.40%,9.70%,24.40%,48.40%,75.70%,87.40%,95.80%,4.20%,100.00%
23,Chemistry,,Total,Number,11979,11392,,298,1220,3065,5867,8785,10041,10924,468,11392
24,Chemistry,,Total,Percentage,,,24.8,2.60%,10.70%,26.90%,51.50%,77.10%,88.10%,95.90%,4.10%,100.00%
25,Chinese History,,Male,Number,2360,2195,,25,106,263,786,1460,1980,2110,85,2195
26,Chinese History,,Male,Percentage,,,-,1.10%,4.80%,12.00%,35.80%,66.50%,90.20%,96.10%,3.90%,100.00%
27,Chinese History,,Female,Number,3223,3111,,41,177,459,1251,2238,2885,3030,81,3111
28,Chinese History,,Female,Percentage,,,-,1.30%,5.70%,14.80%,40.20%,71.90%,92.70%,97.40%,2.60%,100.00%
29,Chinese History,,Total,Number,5583,5306,,66,283,722,2037,3698,4865,5140,166,5306
30,Chinese History,,Total,Percentage,,,-,1.20%,5.30%,13.60%,38.40%,69.70%,91.70%,96.90%,3.10%,100.00%
31,Chinese Language,,Male,Number,20221,19957,,104,407,1220,4732,11297,17517,19330,627,19957
32,Chinese Language,,Male,Percentage,,,-,0.50%,2.00%,6.10%,23.70%,56.60%,87.80%,96.90%,3.10%,100.00%
33,Chinese Language,,Female,Number,19439,19242,,317,1255,2940,8016,14302,18251,19045,197,19242
